Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,1,2,Clothing,53,16,L,Gray,Winter,4.5,1,2,1,Yes,1,14,5,3
2,19,1,23,Clothing,64,18,L,Maroon,Winter,3.1,1,0,1,Yes,1,2,1,3
3,50,1,11,Clothing,73,20,S,Maroon,Spring,3.1,1,1,2,Yes,1,23,2,6
4,21,1,14,Footwear,90,38,M,Maroon,Spring,3.5,1,4,3,Yes,1,49,4,6
5,45,1,2,Clothing,49,36,M,Turquoise,Spring,2.7,1,1,2,Yes,1,31,4,0
6,46,1,20,Footwear,20,49,M,White,Summer,2.9,1,5,4,Yes,1,14,5,6
7,63,1,16,Clothing,85,25,M,Gray,Fall,3.2,1,3,2,Yes,1,49,1,5
8,27,1,18,Clothing,34,17,L,Charcoal,Winter,3.2,1,3,2,Yes,1,19,2,6
9,26,1,4,Outerwear,97,47,L,Silver,Summer,2.6,1,5,1,Yes,1,8,5,0
10,57,1,7,Accessories,31,24,M,Pink,Spring,4.8,1,4,0,Yes,1,4,1,5
11,53,1,17,Footwear,34,3,L,Purple,Fall,4.1,1,2,5,Yes,1,26,0,1
12,30,1,18,Clothing,68,10,S,Olive,Winter,4.9,1,4,5,Yes,1,10,0,3
13,61,1,4,Outerwear,72,7,M,Gold,Winter,4.5,1,4,1,Yes,1,37,5,3
14,65,1,5,Clothing,51,28,M,Violet,Spring,4.7,1,3,1,Yes,1,31,4,6
15,64,1,4,Outerwear,53,31,L,Teal,Winter,4.7,1,4,2,Yes,1,34,3,6
16,64,1,19,Clothing,81,38,M,Teal,Winter,2.8,1,2,5,Yes,1,8,4,4
17,25,1,22,Accessories,36,0,S,Gray,Spring,4.1,1,5,3,Yes,1,44,3,1
18,53,1,5,Clothing,38,23,XL,Lavender,Winter,4.7,1,3,0,Yes,1,36,5,5
19,52,1,23,Clothing,48,25,S,Black,Summer,4.6,1,0,2,Yes,1,17,1,6
20,66,1,13,Clothing,90,38,M,Green,Summer,3.3,1,5,4,Yes,1,46,3,1
21,21,1,13,Clothing,51,17,M,Black,Winter,2.8,1,2,1,Yes,1,50,1,2
22,31,1,13,Clothing,22,32,M,Charcoal,Winter,4.9,1,2,5,Yes,0,22,3,5
23,56,1,13,Clothing,37,4,M,Peach,Summer,3.2,1,1,5,Yes,1,32,3,0
24,31,1,13,Clothing,88,35,XL,White,Winter,4.4,1,2,1,Yes,1,40,2,6
25,18,1,10,Outerwear,22,8,M,Green,Fall,2.9,1,1,5,Yes,1,16,3,6
26,18,1,9,Clothing,25,42,M,Silver,Summer,3.6,1,0,1,Yes,1,14,4,0
27,38,1,12,Accessories,20,27,M,Red,Spring,3.6,1,1,3,Yes,1,13,2,0
28,56,1,18,Clothing,56,16,L,Cyan,Summer,5.0,1,3,3,Yes,1,7,0,2
29,54,1,7,Accessories,94,32,M,Gray,Fall,4.4,1,3,2,Yes,1,41,4,2
30,31,1,5,Clothing,8,49,S,Black,Fall,4.1,1,5,5,Yes,0,14,2,6
31,57,1,12,Accessories,31,32,L,Black,Winter,4.7,1,0,4,Yes,1,16,2,4
32,33,1,5,Clothing,79,47,L,Brown,Winter,4.7,1,5,5,Yes,1,45,5,4
33,36,1,10,Outerwear,67,15,M,Silver,Summer,4.9,1,0,2,Yes,1,37,5,0
34,54,1,13,Clothing,38,5,L,Green,Summer,3.3,1,5,5,Yes,1,45,1,5
35,36,1,24,Clothing,91,33,L,Violet,Spring,4.6,1,3,0,Yes,1,38,4,5
36,54,1,2,Clothing,33,20,M,Cyan,Summer,4.0,1,0,0,Yes,1,48,2,1
37,35,1,24,Clothing,69,12,M,Maroon,Winter,4.6,1,1,2,Yes,1,44,4,3
38,35,1,11,Clothing,45,13,S,Cyan,Summer,2.8,1,3,5,Yes,1,10,4,6
39,29,1,5,Clothing,37,8,M,Red,Winter,3.7,1,3,0,Yes,1,44,5,2
40,70,1,13,Clothing,60,2,S,Turquoise,Summer,4.2,1,0,1,Yes,1,18,2,4
41,69,1,7,Accessories,76,17,L,Beige,Winter,4.6,1,4,3,Yes,1,31,3,5
42,67,1,15,Accessories,39,1,M,Orange,Spring,4.5,1,1,4,Yes,1,40,5,0
43,20,1,4,Outerwear,100,41,M,Beige,Spring,4.1,1,0,2,Yes,1,15,4,0
44,25,1,15,Accessories,69,34,L,Lavender,Fall,3.7,1,4,5,Yes,1,19,4,3
45,39,1,8,Accessories,53,16,S,Silver,Summer,4.6,1,0,2,Yes,1,45,4,6
46,50,1,21,Clothing,21,41,XL,Indigo,Fall,2.9,1,5,0,Yes,1,25,4,0
47,57,1,16,Clothing,43,4,L,White,Summer,2.9,1,5,5,Yes,1,45,1,5
48,55,1,12,Accessories,54,25,M,Charcoal,Winter,4.5,1,3,2,Yes,1,36,1,6
49,42,1,16,Clothing,55,27,M,Orange,Summer,2.7,1,3,5,Yes,1,38,1,4
50,68,1,9,Clothing,30,29,S,Indigo,Spring,4.6,1,0,3,Yes,1,34,3,1
51,49,1,2,Clothing,28,19,M,Red,Spring,3.7,1,1,5,Yes,1,39,3,1
52,59,1,19,Clothing,59,44,XL,Gray,Winter,4.7,1,4,0,Yes,1,7,2,5
53,42,1,24,Clothing,20,1,M,Green,Summer,2.6,1,2,2,Yes,1,26,2,6
54,29,1,19,Clothing,24,23,S,Peach,Winter,3.9,1,3,3,Yes,1,35,2,6
55,47,1,4,Outerwear,94,30,M,Brown,Summer,4.2,1,0,3,Yes,1,35,3,1
56,40,1,10,Outerwear,28,39,M,Lavender,Winter,3.0,1,5,0,Yes,1,49,2,0
57,41,1,0,Accessories,73,23,XL,Brown,Summer,4.7,1,4,5,Yes,1,46,2,6
58,21,1,4,Outerwear,64,47,M,White,Summer,4.4,1,4,5,Yes,1,17,3,3
59,69,1,9,Clothing,54,24,M,Charcoal,Summer,4.2,1,2,2,Yes,1,29,5,4
60,63,1,1,Accessories,79,17,L,Yellow,Spring,4.6,1,3,4,Yes,1,4,3,6
61,50,1,23,Clothing,37,11,L,Brown,Summer,4.0,1,2,1,Yes,1,17,1,6
62,55,1,15,Accessories,68,42,M,Orange,Winter,4.7,1,0,5,Yes,1,21,2,2
63,30,1,20,Footwear,21,23,S,Magenta,Spring,3.8,1,2,2,Yes,1,31,2,3
64,33,1,22,Accessories,79,2,L,Lavender,Winter,2.7,1,2,0,Yes,1,43,2,6
65,65,1,3,Footwear,83,0,S,Green,Fall,4.8,1,4,4,Yes,1,18,3,3
66,65,1,0,Accessories,36,29,M,Purple,Spring,4.8,1,2,0,Yes,1,44,5,2
67,31,1,2,Clothing,94,37,S,Magenta,Winter,4.7,1,0,0,Yes,1,3,5,2
68,45,1,4,Outerwear,33,6,L,Gray,Winter,4.4,1,4,5,Yes,1,49,3,4
69,57,1,7,Accessories,46,43,L,Silver,Summer,3.9,1,2,3,Yes,1,21,1,2
70,48,1,1,Accessories,70,41,S,Cyan,Summer,4.4,1,2,1,Yes,1,5,1,6
71,22,1,1,Accessories,29,0,M,Magenta,Fall,4.2,1,2,1,Yes,1,32,3,2
72,36,1,5,Clothing,48,45,L,Gold,Summer,2.9,1,3,1,Yes,1,34,0,0
73,18,1,5,Clothing,26,9,M,Olive,Winter,2.9,1,3,5,Yes,1,21,0,2
74,48,1,13,Clothing,85,10,M,Teal,Spring,2.7,1,3,2,Yes,1,43,0,1
75,49,1,6,Accessories,58,13,L,Violet,Spring,4.5,1,4,1,Yes,1,3,1,4
76,64,1,15,Accessories,85,43,M,Blue,Summer,2.7,1,3,2,Yes,1,21,2,0
77,50,1,8,Accessories,43,7,S,Teal,Summer,4.2,1,0,2,Yes,1,32,5,4
78,22,1,5,Clothing,53,7,L,Gold,Summer,3.3,1,3,3,Yes,1,36,3,3
79,50,1,19,Clothing,91,26,M,Maroon,Spring,4.7,1,5,2,Yes,1,50,5,3
80,38,1,10,Outerwear,96,14,M,Olive,Winter,2.6,1,0,0,Yes,1,43,0,2
81,19,1,14,Footwear,72,31,XL,Blue,Summer,3.3,1,2,5,Yes,1,24,2,2
82,67,1,17,Footwear,96,45,L,Maroon,Summer,2.6,1,4,1,Yes,1,36,2,2
83,19,1,13,Clothing,28,9,S,Olive,Spring,4.0,1,0,0,Yes,1,21,2,2
84,36,1,5,Clothing,40,42,M,Turquoise,Summer,4.1,1,3,4,Yes,1,34,0,6
85,52,1,4,Outerwear,32,2,S,Peach,Spring,4.4,1,1,4,Yes,1,42,0,2
86,53,1,22,Accessories,95,30,M,Charcoal,Winter,4.5,1,2,3,Yes,1,2,3,1
87,24,1,9,Clothing,41,27,L,Pink,Spring,3.7,1,5,0,Yes,1,47,1,1
88,52,1,17,Footwear,53,34,M,Green,Fall,3.7,1,3,0,Yes,1,44,3,3
89,33,1,24,Clothing,47,49,M,Orange,Fall,3.5,1,2,2,Yes,1,35,2,4
90,47,1,10,Outerwear,83,4,XL,Pink,Fall,3.6,1,0,3,Yes,1,15,1,5
91,25,1,8,Accessories,48,39,L,Violet,Summer,2.9,1,5,1,Yes,1,29,2,4
92,44,1,15,Accessories,99,39,S,Green,Winter,4.6,1,4,4,Yes,1,18,2,2
93,61,1,10,Outerwear,87,42,M,Olive,Winter,4.4,1,1,0,Yes,1,13,5,2
94,37,1,23,Clothing,62,8,M,Purple,Fall,4.5,1,4,4,Yes,1,46,2,6
